,grid_id,has_tree,avg_height,avg_diameter,avg_year,Fraxinus,Salix,Alnus,Quercus,Tilia,Acer,Populus,Betula,Prunus,Platanus,Malus,Robinia,Crataegus,Ulmus,Carpinus,Overig,Onbekend,Incident_ID,Service_Area,Date,Hour,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,wind_speed_10m,wind_direction_10m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
1031,37114,True,15.346,0.75,1978.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0,350886,Nico,2020-07-05,13,19.8785,70.60257,14.3785,15.800512,0.2,0.2,0.0,0.0,51.0,1009.0,1007.9419,40.044235,247.81593,74.88,19.478498,16.828499,15.3785,10.778501,0.523,0.403,0.481,0.647
1032,37115,True,21.5,0.0,1910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327847,Nico,2019-08-24,20,19.948,75.068825,15.398,20.794691,0.0,0.0,0.0,0.0,0.0,1018.9,1018.1878,6.696387,53.74608,10.799999,21.598,18.698,16.248,12.798,0.544,0.572,0.524,0.618
1033,37133,True,10.143,0.0,1994.909,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,130747,Victor,2012-11-25,14,9.911,64.65769,3.5609999,2.3970237,0.0,0.0,0.0,0.0,0.0,1005.1,1004.4937,41.185005,233.53067,76.67999,8.911,7.761,9.261001,12.261001,0.691,0.688,0.687,0.665
1034,37134,True,10.091,0.0,2001.917,0.0,0.0,0.0,7.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,294413,Victor,2018-01-29,10,9.698,77.20398,5.898,3.8764896,0.0,0.0,0.0,0.0,3.0,1022.5,1021.75934,32.909985,239.78876,59.76,8.348,7.448,7.048,10.398,0.672,0.682,0.697,0.628
1035,37383,True,11.7,0.52,1654.167,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,406703,Osdorp,2022-07-28,7,15.1305,72.058975,10.1305,13.282175,0.0,0.0,0.0,0.0,3.0,1020.3,1020.1792,13.039754,83.659904,25.199999,14.9805,17.530499,16.630499,11.6305,0.469,0.446,0.487,0.636
1036,37428,True,6.577,0.41,1902.718,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,11.0,5.0,6.0,0.0,0.0,3.0,0.0,11.0,0.0,397862,Hendrik,2022-04-07,14,9.211,70.68698,4.161,1.6324649,2.6,2.3,0.21000001,0.0,73.0,982.9,982.42444,42.437263,255.2564,89.27999,10.111,8.161,7.761,9.061001,0.718,0.64,0.608,0.686
1037,37428,True,6.577,0.41,1902.718,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,11.0,5.0,6.0,0.0,0.0,3.0,0.0,11.0,0.0,424332,Hendrik,2023-03-13,11,13.461,69.8277,8.061001,5.5502605,0.0,0.0,0.0,0.0,1.0,993.2,992.7265,50.77149,231.91118,92.159996,10.411,5.861,6.011,9.511001,0.714,0.708,0.679,0.665
1038,37433,True,16.143,0.332,1982.529,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,393892,Hendrik,2022-02-19,11,6.8285003,58.61727,-0.7215,-0.40289736,0.1,0.1,0.0,0.0,51.0,1011.2,1010.09015,34.275703,252.89719,61.56,6.6785,7.2285004,7.5785003,9.8285,0.704,0.714,0.701,0.679
1039,37434,True,18.214,0.425,1974.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,393515,Hendrik,2022-02-18,17,7.2285004,70.54477,2.2285,-1.7311816,0.2,0.2,0.0,0.0,51.0,986.7,985.6186,49.40401,247.73337,104.03999,8.3285,7.9285,7.5285,9.8285,0.727,0.72,0.7,0.679
1040,37434,True,18.214,0.425,1974.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,433252,Hendrik,2023-07-05,9,13.3285,81.776886,10.278501,6.380274,3.2,3.2,0.0,0.0,63.0,1002.3,1001.2251,48.305775,267.0097,97.92,13.028501,16.478498,15.9285,10.778501,0.733,0.474,0.538,0.661
