Unnamed: 0,grid_id,zipcode,service_area,geometry,has_tree,avg_height,avg_diameter,avg_year,Populus,Acer,Ulmus,Tilia,Fraxinus,Salix,Alnus,Onbekend,Quercus,Robinia,Betula,Carpinus,Overig,Crataegus,Prunus,Platanus,Malus,num_trees
5159.0,8675.0,1191.0,Amstelveen,"POLYGON ((4.904782543660426 52.29840796442852, 4.907730272744895 52.29840796442852, 4.907730272744895 52.296606162626716, 4.904782543660426 52.296606162626716, 4.904782543660426 52.29840796442852))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5160.0,8676.0,1191.0,Amstelveen,"POLYGON ((4.904782543660426 52.300209766230324, 4.907730272744895 52.300209766230324, 4.907730272744895 52.29840796442852, 4.904782543660426 52.29840796442852, 4.904782543660426 52.300209766230324))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5161.0,8677.0,1191.0,Amstelveen,"POLYGON ((4.904782543660426 52.30201156803213, 4.907730272744895 52.30201156803213, 4.907730272744895 52.300209766230324, 4.904782543660426 52.300209766230324, 4.904782543660426 52.30201156803213))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5162.0,8678.0,1191.0,Amstelveen,"POLYGON ((4.904782543660426 52.30381336983393, 4.907730272744895 52.30381336983393, 4.907730272744895 52.30201156803213, 4.904782543660426 52.30201156803213, 4.904782543660426 52.30381336983393))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5163.0,8679.0,1191.0,Amstelveen,"POLYGON ((4.904782543660426 52.305615171635736, 4.907730272744895 52.305615171635736, 4.907730272744895 52.30381336983393, 4.904782543660426 52.30381336983393, 4.904782543660426 52.305615171635736))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5164.0,8680.0,1191.0,Amstelveen,"POLYGON ((4.904782543660426 52.30741697343754, 4.907730272744895 52.30741697343754, 4.907730272744895 52.305615171635736, 4.904782543660426 52.305615171635736, 4.904782543660426 52.30741697343754))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5165.0,8681.0,1183.0,Amstelveen,"POLYGON ((4.904782543660426 52.309218775239344, 4.907730272744895 52.309218775239344, 4.907730272744895 52.30741697343754, 4.904782543660426 52.30741697343754, 4.904782543660426 52.309218775239344))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5166.0,8682.0,1183.0,Amstelveen,"POLYGON ((4.904782543660426 52.31102057704115, 4.907730272744895 52.31102057704115, 4.907730272744895 52.309218775239344, 4.904782543660426 52.309218775239344, 4.904782543660426 52.31102057704115))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5167.0,8683.0,1191.0,Amstelveen,"POLYGON ((4.904782543660426 52.31282237884295, 4.907730272744895 52.31282237884295, 4.907730272744895 52.31102057704115, 4.904782543660426 52.31102057704115, 4.904782543660426 52.31282237884295))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5168.0,8684.0,1183.0,Amstelveen,"POLYGON ((4.904782543660426 52.314624180644756, 4.907730272744895 52.314624180644756, 4.907730272744895 52.31282237884295, 4.904782543660426 52.31282237884295, 4.904782543660426 52.314624180644756))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
