,geometry
56,"POLYGON ((4.701389236832061 52.30741697343754, 4.701389236832061 52.309218775239344, 4.70433696591653 52.309218775239344, 4.70433696591653 52.30741697343754, 4.701389236832061 52.30741697343754))"
57,"POLYGON ((4.701389236832061 52.309218775239344, 4.701389236832061 52.31102057704115, 4.70433696591653 52.31102057704115, 4.70433696591653 52.309218775239344, 4.701389236832061 52.309218775239344))"
58,"POLYGON ((4.701389236832061 52.31102057704115, 4.701389236832061 52.31282237884295, 4.70433696591653 52.31282237884295, 4.70433696591653 52.31102057704115, 4.701389236832061 52.31102057704115))"
59,"POLYGON ((4.701389236832061 52.31282237884295, 4.701389236832061 52.314624180644756, 4.70433696591653 52.314624180644756, 4.70433696591653 52.31282237884295, 4.701389236832061 52.31282237884295))"
60,"POLYGON ((4.701389236832061 52.314624180644756, 4.701389236832061 52.31642598244656, 4.70433696591653 52.31642598244656, 4.70433696591653 52.314624180644756, 4.701389236832061 52.314624180644756))"
61,"POLYGON ((4.701389236832061 52.31642598244656, 4.701389236832061 52.318227784248364, 4.70433696591653 52.318227784248364, 4.70433696591653 52.31642598244656, 4.701389236832061 52.31642598244656))"
62,"POLYGON ((4.701389236832061 52.318227784248364, 4.701389236832061 52.32002958605017, 4.70433696591653 52.32002958605017, 4.70433696591653 52.318227784248364, 4.701389236832061 52.318227784248364))"
63,"POLYGON ((4.701389236832061 52.32002958605017, 4.701389236832061 52.32183138785197, 4.70433696591653 52.32183138785197, 4.70433696591653 52.32002958605017, 4.701389236832061 52.32002958605017))"
64,"POLYGON ((4.701389236832061 52.32183138785197, 4.701389236832061 52.323633189653776, 4.70433696591653 52.323633189653776, 4.70433696591653 52.32183138785197, 4.701389236832061 52.32183138785197))"
65,"POLYGON ((4.701389236832061 52.323633189653776, 4.701389236832061 52.32543499145558, 4.70433696591653 52.32543499145558, 4.70433696591653 52.323633189653776, 4.701389236832061 52.323633189653776))"
66,"POLYGON ((4.701389236832061 52.32543499145558, 4.701389236832061 52.327236793257384, 4.70433696591653 52.327236793257384, 4.70433696591653 52.32543499145558, 4.701389236832061 52.32543499145558))"
67,"POLYGON ((4.701389236832061 52.327236793257384, 4.701389236832061 52.32903859505919, 4.70433696591653 52.32903859505919, 4.70433696591653 52.327236793257384, 4.701389236832061 52.327236793257384))"
68,"POLYGON ((4.701389236832061 52.32903859505919, 4.701389236832061 52.33084039686099, 4.70433696591653 52.33084039686099, 4.70433696591653 52.32903859505919, 4.701389236832061 52.32903859505919))"
69,"POLYGON ((4.701389236832061 52.33084039686099, 4.701389236832061 52.332642198662796, 4.70433696591653 52.332642198662796, 4.70433696591653 52.33084039686099, 4.701389236832061 52.33084039686099))"
70,"POLYGON ((4.701389236832061 52.332642198662796, 4.701389236832061 52.3344440004646, 4.70433696591653 52.3344440004646, 4.70433696591653 52.332642198662796, 4.701389236832061 52.332642198662796))"
71,"POLYGON ((4.701389236832061 52.3344440004646, 4.701389236832061 52.336245802266404, 4.70433696591653 52.336245802266404, 4.70433696591653 52.3344440004646, 4.701389236832061 52.3344440004646))"
72,"POLYGON ((4.701389236832061 52.336245802266404, 4.701389236832061 52.33804760406821, 4.70433696591653 52.33804760406821, 4.70433696591653 52.336245802266404, 4.701389236832061 52.336245802266404))"
73,"POLYGON ((4.701389236832061 52.33804760406821, 4.701389236832061 52.33984940587001, 4.70433696591653 52.33984940587001, 4.70433696591653 52.33804760406821, 4.701389236832061 52.33804760406821))"
74,"POLYGON ((4.701389236832061 52.33984940587001, 4.701389236832061 52.341651207671816, 4.70433696591653 52.341651207671816, 4.70433696591653 52.33984940587001, 4.701389236832061 52.33984940587001))"
75,"POLYGON ((4.701389236832061 52.341651207671816, 4.701389236832061 52.34345300947362, 4.70433696591653 52.34345300947362, 4.70433696591653 52.341651207671816, 4.701389236832061 52.341651207671816))"
76,"POLYGON ((4.701389236832061 52.34345300947362, 4.701389236832061 52.345254811275424, 4.70433696591653 52.345254811275424, 4.70433696591653 52.34345300947362, 4.701389236832061 52.34345300947362))"
77,"POLYGON ((4.701389236832061 52.345254811275424, 4.701389236832061 52.34705661307723, 4.70433696591653 52.34705661307723, 4.70433696591653 52.345254811275424, 4.701389236832061 52.345254811275424))"
78,"POLYGON ((4.701389236832061 52.34705661307723, 4.701389236832061 52.34885841487903, 4.70433696591653 52.34885841487903, 4.70433696591653 52.34705661307723, 4.701389236832061 52.34705661307723))"
79,"POLYGON ((4.701389236832061 52.34885841487903, 4.701389236832061 52.350660216680836, 4.70433696591653 52.350660216680836, 4.70433696591653 52.34885841487903, 4.701389236832061 52.34885841487903))"
80,"POLYGON ((4.701389236832061 52.350660216680836, 4.701389236832061 52.35246201848264, 4.70433696591653 52.35246201848264, 4.70433696591653 52.350660216680836, 4.701389236832061 52.350660216680836))"
81,"POLYGON ((4.701389236832061 52.35246201848264, 4.701389236832061 52.354263820284444, 4.70433696591653 52.354263820284444, 4.70433696591653 52.35246201848264, 4.701389236832061 52.35246201848264))"
82,"POLYGON ((4.701389236832061 52.354263820284444, 4.701389236832061 52.35606562208625, 4.70433696591653 52.35606562208625, 4.70433696591653 52.354263820284444, 4.701389236832061 52.354263820284444))"
83,"POLYGON ((4.701389236832061 52.35606562208625, 4.701389236832061 52.35786742388805, 4.70433696591653 52.35786742388805, 4.70433696591653 52.35606562208625, 4.701389236832061 52.35606562208625))"
84,"POLYGON ((4.701389236832061 52.35786742388805, 4.701389236832061 52.359669225689856, 4.70433696591653 52.359669225689856, 4.70433696591653 52.35786742388805, 4.701389236832061 52.35786742388805))"
85,"POLYGON ((4.701389236832061 52.359669225689856, 4.701389236832061 52.36147102749166, 4.70433696591653 52.36147102749166, 4.70433696591653 52.359669225689856, 4.701389236832061 52.359669225689856))"
86,"POLYGON ((4.701389236832061 52.36147102749166, 4.701389236832061 52.363272829293464, 4.70433696591653 52.363272829293464, 4.70433696591653 52.36147102749166, 4.701389236832061 52.36147102749166))"
87,"POLYGON ((4.701389236832061 52.363272829293464, 4.701389236832061 52.36507463109527, 4.70433696591653 52.36507463109527, 4.70433696591653 52.363272829293464, 4.701389236832061 52.363272829293464))"
88,"POLYGON ((4.701389236832061 52.36507463109527, 4.701389236832061 52.36687643289707, 4.70433696591653 52.36687643289707, 4.70433696591653 52.36507463109527, 4.701389236832061 52.36507463109527))"
89,"POLYGON ((4.701389236832061 52.36687643289707, 4.701389236832061 52.368678234698876, 4.70433696591653 52.368678234698876, 4.70433696591653 52.36687643289707, 4.701389236832061 52.36687643289707))"
90,"POLYGON ((4.701389236832061 52.368678234698876, 4.701389236832061 52.37048003650068, 4.70433696591653 52.37048003650068, 4.70433696591653 52.368678234698876, 4.701389236832061 52.368678234698876))"
91,"POLYGON ((4.701389236832061 52.37048003650068, 4.701389236832061 52.372281838302484, 4.70433696591653 52.372281838302484, 4.70433696591653 52.37048003650068, 4.701389236832061 52.37048003650068))"
92,"POLYGON ((4.701389236832061 52.372281838302484, 4.701389236832061 52.37408364010429, 4.70433696591653 52.37408364010429, 4.70433696591653 52.372281838302484, 4.701389236832061 52.372281838302484))"
93,"POLYGON ((4.701389236832061 52.37408364010429, 4.701389236832061 52.37588544190609, 4.70433696591653 52.37588544190609, 4.70433696591653 52.37408364010429, 4.701389236832061 52.37408364010429))"
94,"POLYGON ((4.701389236832061 52.37588544190609, 4.701389236832061 52.377687243707896, 4.70433696591653 52.377687243707896, 4.70433696591653 52.37588544190609, 4.701389236832061 52.37588544190609))"
95,"POLYGON ((4.701389236832061 52.377687243707896, 4.701389236832061 52.3794890455097, 4.70433696591653 52.3794890455097, 4.70433696591653 52.377687243707896, 4.701389236832061 52.377687243707896))"
96,"POLYGON ((4.701389236832061 52.3794890455097, 4.701389236832061 52.381290847311504, 4.70433696591653 52.381290847311504, 4.70433696591653 52.3794890455097, 4.701389236832061 52.3794890455097))"
97,"POLYGON ((4.701389236832061 52.381290847311504, 4.701389236832061 52.38309264911331, 4.70433696591653 52.38309264911331, 4.70433696591653 52.381290847311504, 4.701389236832061 52.381290847311504))"
98,"POLYGON ((4.701389236832061 52.38309264911331, 4.701389236832061 52.38489445091511, 4.70433696591653 52.38489445091511, 4.70433696591653 52.38309264911331, 4.701389236832061 52.38309264911331))"
99,"POLYGON ((4.701389236832061 52.38489445091511, 4.701389236832061 52.386696252716916, 4.70433696591653 52.386696252716916, 4.70433696591653 52.38489445091511, 4.701389236832061 52.38489445091511))"
100,"POLYGON ((4.701389236832061 52.386696252716916, 4.701389236832061 52.38849805451872, 4.70433696591653 52.38849805451872, 4.70433696591653 52.386696252716916, 4.701389236832061 52.386696252716916))"
101,"POLYGON ((4.701389236832061 52.38849805451872, 4.701389236832061 52.390299856320524, 4.70433696591653 52.390299856320524, 4.70433696591653 52.38849805451872, 4.701389236832061 52.38849805451872))"
102,"POLYGON ((4.701389236832061 52.390299856320524, 4.701389236832061 52.39210165812233, 4.70433696591653 52.39210165812233, 4.70433696591653 52.390299856320524, 4.701389236832061 52.390299856320524))"
103,"POLYGON ((4.701389236832061 52.39210165812233, 4.701389236832061 52.39390345992413, 4.70433696591653 52.39390345992413, 4.70433696591653 52.39210165812233, 4.701389236832061 52.39210165812233))"
104,"POLYGON ((4.701389236832061 52.39390345992413, 4.701389236832061 52.39570526172594, 4.70433696591653 52.39570526172594, 4.70433696591653 52.39390345992413, 4.701389236832061 52.39390345992413))"
