grid_id,has_roadsign,Gemiddelde hoogte onderkant bord,Gemiddelde kijkrichting,Scheiding,Buispaal,Flespaal,Lichtmast,Overig,Mast,Bouwwerk,Portaal,Hekwerk,VRI-Mast,Muur,Incident_ID,Service_Area,Date,Hour,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,wind_speed_10m,wind_direction_10m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
4584,True,2.274,193.92,0.0,2.0,16.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,314869,Osdorp,2019-03-07,19,7.6805,79.06701,4.2805004,0.51158285,0.5,0.5,0.0,0.0,53.0,992.5,992.37933,39.79262,228.6679,82.079994,8.580501,8.2805,7.8305,9.7305,0.709,0.702,0.659,0.624
4593,True,2.221,127.24,0.0,2.0,16.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,309438,Osdorp,2018-08-09,21,16.2305,92.605286,15.0305,14.585939,1.6,1.6,0.0,0.0,61.0,1009.3,1009.0616,22.81957,276.3401,67.32,18.9805,20.8305,18.5805,12.5305,0.501,0.322,0.468,0.635
4698,True,2.107,236.786,0.0,4.0,11.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,305293,Pieter,2018-06-18,15,17.417501,77.62656,13.4675,15.123188,0.0,0.0,0.0,0.0,2.0,1019.2,1018.8405,23.358425,245.4099,45.36,17.167501,15.9175,15.117499,10.1675,0.552,0.525,0.573,0.663
4704,True,2.168,166.45,3.0,0.0,13.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,393145,Pieter,2022-02-18,16,8.874,66.74696,3.024,-0.5689354,0.0,0.0,0.0,0.0,1.0,985.3,985.0614,53.712433,232.8996,107.64,8.774,7.974,7.574,9.874,0.728,0.72,0.699,0.679
4704,True,2.168,166.45,3.0,0.0,13.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,394185,Pieter,2022-02-20,12,8.974,88.188095,7.124,2.481637,1.0,1.0,0.0,0.0,55.0,1002.6,1002.3572,39.45738,238.05006,67.32,7.874,6.624,7.624,9.824,0.741,0.738,0.705,0.68
4718,True,2.3,106.481,0.0,3.0,39.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127536,Osdorp,2012-09-24,18,14.587001,74.40925,10.087001,7.388056,0.0,0.0,0.0,0.0,3.0,989.6,989.36505,49.644768,225.8813,77.03999,13.837001,13.187,14.487,13.537001,0.652,0.641,0.546,0.577
4719,True,2.151,128.198,0.0,29.0,28.0,6.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,391496,Osdorp,2022-01-31,16,6.3675003,76.66467,2.5674999,-0.6330466,0.0,0.0,0.0,0.0,2.0,1014.8,1014.30414,36.386723,332.928,69.84,5.7675004,6.0675,6.9675,10.3175,0.695,0.675,0.685,0.676
4832,True,2.123,231.955,0.0,2.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132848,Osdorp,2012-12-31,18,9.5305,84.69384,7.0805,2.9617615,0.6,0.6,0.0,0.0,53.0,1001.3,1000.93713,39.9097,201.70549,72.0,8.4805,7.7305,7.5305004,10.6305,0.631,0.631,0.645,0.625
4832,True,2.123,231.955,0.0,2.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354609,Osdorp,2020-08-26,8,16.7305,78.79943,13.0305,11.451553,0.2,0.2,0.0,0.0,51.0,1001.3,1001.18207,42.793083,259.82455,79.56,15.7805,17.2305,17.7305,12.7805,0.648,0.556,0.474,0.625
4833,True,1.962,262.923,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307145,Osdorp,2018-07-11,16,21.4305,63.553642,14.2305,19.849964,0.0,0.0,0.0,0.0,1.0,1017.8,1017.68207,20.316889,352.87506,39.96,22.0805,18.0805,16.0805,11.1305,0.349,0.42,0.533,0.653
