,id,service_area,geometry
526,526,Aalsmeer,"POLYGON ((4.7131801531699375 52.255164721185224, 4.716127882254407 52.255164721185224, 4.716127882254407 52.25336291938342, 4.7131801531699375 52.25336291938342, 4.7131801531699375 52.255164721185224))"
640,640,Aalsmeer,"POLYGON ((4.716127882254407 52.23534490136538, 4.719075611338876 52.23534490136538, 4.719075611338876 52.233543099563576, 4.716127882254407 52.233543099563576, 4.716127882254407 52.23534490136538))"
641,641,Aalsmeer,"POLYGON ((4.716127882254407 52.237146703167184, 4.719075611338876 52.237146703167184, 4.719075611338876 52.23534490136538, 4.716127882254407 52.23534490136538, 4.716127882254407 52.237146703167184))"
642,642,Aalsmeer,"POLYGON ((4.716127882254407 52.23894850496899, 4.719075611338876 52.23894850496899, 4.719075611338876 52.237146703167184, 4.716127882254407 52.237146703167184, 4.716127882254407 52.23894850496899))"
643,643,Aalsmeer,"POLYGON ((4.716127882254407 52.24075030677079, 4.719075611338876 52.24075030677079, 4.719075611338876 52.23894850496899, 4.716127882254407 52.23894850496899, 4.716127882254407 52.24075030677079))"
644,644,Aalsmeer,"POLYGON ((4.716127882254407 52.242552108572596, 4.719075611338876 52.242552108572596, 4.719075611338876 52.24075030677079, 4.716127882254407 52.24075030677079, 4.716127882254407 52.242552108572596))"
645,645,Aalsmeer,"POLYGON ((4.716127882254407 52.2443539103744, 4.719075611338876 52.2443539103744, 4.719075611338876 52.242552108572596, 4.716127882254407 52.242552108572596, 4.716127882254407 52.2443539103744))"
646,646,Aalsmeer,"POLYGON ((4.716127882254407 52.246155712176204, 4.719075611338876 52.246155712176204, 4.719075611338876 52.2443539103744, 4.716127882254407 52.2443539103744, 4.716127882254407 52.246155712176204))"
647,647,Aalsmeer,"POLYGON ((4.716127882254407 52.24795751397801, 4.719075611338876 52.24795751397801, 4.719075611338876 52.246155712176204, 4.716127882254407 52.246155712176204, 4.716127882254407 52.24795751397801))"
648,648,Aalsmeer,"POLYGON ((4.716127882254407 52.24975931577981, 4.719075611338876 52.24975931577981, 4.719075611338876 52.24795751397801, 4.716127882254407 52.24795751397801, 4.716127882254407 52.24975931577981))"
649,649,Aalsmeer,"POLYGON ((4.716127882254407 52.251561117581616, 4.719075611338876 52.251561117581616, 4.719075611338876 52.24975931577981, 4.716127882254407 52.24975931577981, 4.716127882254407 52.251561117581616))"
650,650,Aalsmeer,"POLYGON ((4.716127882254407 52.25336291938342, 4.719075611338876 52.25336291938342, 4.719075611338876 52.251561117581616, 4.716127882254407 52.251561117581616, 4.716127882254407 52.25336291938342))"
