,Unnamed: 0,grid_id,service_area,geometry,has_tree,avg_height,avg_diameter,avg_year,Populus,Acer,Ulmus,Tilia,Fraxinus,Salix,Alnus,Onbekend,Quercus,Robinia,Betula,Carpinus,Overig,Crataegus,Prunus,Platanus,Malus,num_trees
2004,4595,4595,Osdorp,"POLYGON ((4.807507483872947 52.3794890455097, 4.810455212957416 52.3794890455097, 4.810455212957416 52.377687243707896, 4.807507483872947 52.377687243707896, 4.807507483872947 52.3794890455097))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,4596,4596,Osdorp,"POLYGON ((4.807507483872947 52.381290847311504, 4.810455212957416 52.381290847311504, 4.810455212957416 52.3794890455097, 4.807507483872947 52.3794890455097, 4.807507483872947 52.381290847311504))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,4597,4597,Osdorp,"POLYGON ((4.807507483872947 52.38309264911331, 4.810455212957416 52.38309264911331, 4.810455212957416 52.381290847311504, 4.807507483872947 52.381290847311504, 4.807507483872947 52.38309264911331))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,4598,4598,Osdorp,"POLYGON ((4.807507483872947 52.38489445091511, 4.810455212957416 52.38489445091511, 4.810455212957416 52.38309264911331, 4.807507483872947 52.38309264911331, 4.807507483872947 52.38489445091511))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,4599,4599,GBA,"POLYGON ((4.807507483872947 52.386696252716916, 4.810455212957416 52.386696252716916, 4.810455212957416 52.38489445091511, 4.807507483872947 52.38489445091511, 4.807507483872947 52.386696252716916))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,4600,4600,GBA,"POLYGON ((4.807507483872947 52.38849805451872, 4.810455212957416 52.38849805451872, 4.810455212957416 52.386696252716916, 4.807507483872947 52.386696252716916, 4.807507483872947 52.38849805451872))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,4601,4601,GBA,"POLYGON ((4.807507483872947 52.390299856320524, 4.810455212957416 52.390299856320524, 4.810455212957416 52.38849805451872, 4.807507483872947 52.38849805451872, 4.807507483872947 52.390299856320524))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,4602,4602,GBA,"POLYGON ((4.807507483872947 52.39210165812233, 4.810455212957416 52.39210165812233, 4.810455212957416 52.390299856320524, 4.807507483872947 52.390299856320524, 4.807507483872947 52.39210165812233))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,4603,4603,GBA,"POLYGON ((4.807507483872947 52.39390345992413, 4.810455212957416 52.39390345992413, 4.810455212957416 52.39210165812233, 4.807507483872947 52.39210165812233, 4.807507483872947 52.39390345992413))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,4604,4604,GBA,"POLYGON ((4.807507483872947 52.39570526172594, 4.810455212957416 52.39570526172594, 4.810455212957416 52.39390345992413, 4.807507483872947 52.39390345992413, 4.807507483872947 52.39570526172594))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,4605,4605,GBA,"POLYGON ((4.807507483872947 52.39750706352774, 4.810455212957416 52.39750706352774, 4.810455212957416 52.39570526172594, 4.807507483872947 52.39570526172594, 4.807507483872947 52.39750706352774))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,4606,4606,GBA,"POLYGON ((4.807507483872947 52.399308865329544, 4.810455212957416 52.399308865329544, 4.810455212957416 52.39750706352774, 4.807507483872947 52.39750706352774, 4.807507483872947 52.399308865329544))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
