Date,Hour,grid_id,has_tree,avg_height,avg_diameter,avg_year,Fraxinus,Salix,Alnus,Quercus,Tilia,Acer,Populus,Betula,Prunus,Platanus,Malus,Robinia,Crataegus,Ulmus,Carpinus,Overig,Onbekend
2023-07-05,11,8451,True,11.717,0.425,1871.358,19.0,11.0,11.0,8.0,42.0,62.0,20.0,1.0,5.0,1.0,0.0,0.0,29.0,13.0,3.0,63.0,0.0
2023-07-17,9,12231,True,10.555,0.33,1860.805,1.0,3.0,1.0,8.0,6.0,0.0,0.0,7.0,8.0,0.0,0.0,1.0,6.0,18.0,0.0,23.0,0.0
2022-02-18,20,4577,True,10.882,0.316,1913.514,8.0,3.0,1.0,5.0,15.0,7.0,1.0,7.0,4.0,1.0,4.0,0.0,0.0,3.0,3.0,10.0,0.0
2022-02-19,8,4725,True,8.351,0.15,1678.852,0.0,11.0,3.0,2.0,2.0,21.0,0.0,0.0,12.0,0.0,1.0,11.0,0.0,0.0,0.0,45.0,0.0
2022-02-19,13,9462,True,15.8,0.0,1965.0,3.0,12.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-12,18,3363,True,11.15,0.0,1830.607,6.0,0.0,0.0,2.0,2.0,13.0,8.0,0.0,0.0,18.0,0.0,1.0,0.0,6.0,3.0,2.0,0.0
2019-08-10,15,4233,True,13.48,0.422,1939.244,1.0,4.0,28.0,0.0,8.0,21.0,10.0,0.0,6.0,18.0,6.0,0.0,0.0,1.0,13.0,11.0,0.0
2007-06-26,12,7793,True,10.319,0.279,1968.015,0.0,0.0,0.0,0.0,63.0,5.0,0.0,28.0,6.0,0.0,2.0,0.0,14.0,10.0,0.0,9.0,0.0
2011-06-16,19,6055,True,6.427,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,7.0,0.0
2023-08-02,20,4749,True,10.761,0.348,1285.261,3.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0
2022-07-02,16,7938,True,10.906,0.388,1862.479,4.0,0.0,1.0,0.0,2.0,2.0,10.0,0.0,2.0,6.0,2.0,1.0,0.0,17.0,10.0,14.0,0.0
2017-09-13,9,8292,True,11.759,0.25,1886.428,5.0,11.0,10.0,4.0,3.0,28.0,8.0,15.0,4.0,15.0,3.0,4.0,3.0,13.0,10.0,43.0,1.0
2023-07-05,15,12737,True,13.0,0.375,1986.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
2023-07-05,15,8769,True,14.564,0.512,1987.857,0.0,0.0,1.0,3.0,23.0,16.0,5.0,2.0,0.0,3.0,2.0,0.0,4.0,36.0,1.0,9.0,0.0
2023-11-02,16,9844,True,12.0,0.0,1925.351,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,50.0,0.0,3.0,0.0
2021-03-11,10,5705,True,8.8,0.0,249.375,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-02-09,14,11539,True,12.957,0.0,1729.298,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,36.0,0.0,4.0,0.0
2017-12-13,15,8646,True,9.403,0.0,1940.219,0.0,3.0,0.0,3.0,0.0,2.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
2022-02-19,13,9133,True,14.051,0.425,1963.95,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,16.0,0.0,11.0,0.0,24.0,0.0
