,Date,Hour,grid_id,has_tree,avg_height,avg_diameter,avg_year,Fraxinus,Salix,Alnus,Quercus,Tilia,Acer,Populus,Betula,Prunus,Platanus,Malus,Robinia,Crataegus,Ulmus,Carpinus,Overig,Onbekend
105,2023-07-05,15,33022,True,12.9,,1980.7,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,2023-07-05,12,37076,True,10.25,0.258,1994.5,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
107,2023-07-05,12,16682,True,7.2,0.17,800.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
108,2011-11-27,12,24076,True,12.0,,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,2022-01-31,16,33066,True,3.529,,2006.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0
110,2012-09-29,12,44592,True,12.948,,1812.241,12.0,3.0,7.0,0.0,0.0,5.0,6.0,0.0,2.0,0.0,0.0,1.0,2.0,9.0,0.0,7.0,0.0
111,2022-02-19,10,15618,True,16.733,,1925.533,0.0,0.0,2.0,2.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0
112,2006-08-02,10,32325,True,9.042,,1929.556,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,20.0,0.0,0.0,0.0
113,2012-09-24,17,49804,True,15.917,,1977.333,2.0,0.0,0.0,2.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
114,2023-07-05,9,12871,True,11.074,,1299.111,5.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,17.0,0.0,3.0,0.0,7.0,3.0,6.0,0.0
115,2023-07-05,9,33671,True,14.029,0.341,1985.941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,9.0,0.0,2.0,0.0
116,2022-01-31,9,22367,True,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,2022-02-18,18,28564,True,11.946,,1971.786,3.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,5.0,0.0
118,2017-10-05,12,41127,True,17.603,0.562,1838.133,15.0,2.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
119,2022-02-18,18,33949,True,6.656,0.23,2010.941,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0
120,2017-08-04,17,43529,True,13.205,,1913.375,8.0,0.0,3.0,9.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
121,2022-02-18,17,18044,True,16.266,0.525,1985.562,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
122,2009-05-11,18,45929,True,17.944,,1981.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
123,2018-01-03,13,30301,True,11.872,,2009.977,2.0,6.0,3.0,0.0,0.0,4.0,0.0,12.0,6.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,0.0
124,2022-02-18,15,49672,True,9.0,0.25,1995.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,2022-08-12,16,38498,True,10.5,,1999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
126,2023-10-22,2,46316,True,8.356,0.301,1861.985,4.0,24.0,12.0,1.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,12.0,0.0
127,2019-07-31,19,16964,True,14.889,0.15,1985.7,1.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,6.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0
128,2019-06-08,14,50810,True,8.471,,1973.409,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,2022-02-18,17,41835,True,11.077,,1996.625,0.0,0.0,0.0,32.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,2009-05-08,16,31651,True,11.5,0.15,1093.333,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
131,2007-06-23,16,23395,True,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,2010-11-12,7,16887,True,21.5,,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,2023-07-06,11,36450,True,12.656,,1991.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
