grid_id,has_building,Gemiddeld Bouwjaar,Gewogen Gemiddeld Bouwjaar,Voor 1860,1860-1919,1920-1939,1940-1969,1970-1985,1986-2001,Na 2001,Incident_ID,Service_Area,Date,Hour,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,wind_speed_10m,wind_direction_10m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
4220,True,1965.2,1957.656,0.0,0.0,0.0,4.0,0.0,1.0,0.0,312878,Osdorp,2019-02-09,9,8.287001,64.98002,2.087,0.4970832,0.0,0.0,0.0,0.0,1.0,997.6,997.47906,41.211742,231.02753,74.520004,6.387,6.287,5.737,10.537001,0.699,0.688,0.629,0.602
4223,True,1975.4,1979.59,0.0,0.0,0.0,3.0,0.0,0.0,2.0,374119,Osdorp,2021-06-02,11,23.15,61.1285,15.25,24.720585,0.0,0.0,0.0,0.0,0.0,1015.3,1015.41705,11.901798,86.531845,27.359999,20.45,15.45,10.95,8.75,0.571,0.606,0.609,0.663
4230,True,2012.0,2015.628,0.0,0.0,0.0,0.0,0.0,0.0,2.0,267380,GBA,2017-02-23,14,9.487,68.78633,4.037,1.6614561,0.2,0.2,0.0,0.0,51.0,985.2,985.08093,43.96129,238.39255,86.03999,8.437,7.187,5.387,8.287001,0.732,0.71,0.658,0.63
4327,True,1994.462,1994.53,0.0,0.0,0.0,0.0,0.0,13.0,0.0,312908,Osdorp,2019-02-09,12,9.337001,64.985855,3.087,1.4332542,0.0,0.0,0.0,0.0,0.0,999.9,999.9,43.238983,237.23611,78.12,7.937,6.387,5.787,10.487,0.7,0.698,0.657,0.613
4327,True,1994.462,1994.53,0.0,0.0,0.0,0.0,0.0,13.0,0.0,315539,Osdorp,2019-03-16,13,10.537001,76.28148,6.537,3.4019656,0.0,0.0,0.0,0.0,3.0,1002.2,1002.2,42.91405,229.76372,77.4,8.987,7.587,7.787,9.587001,0.733,0.733,0.702,0.629
4328,True,1995.0,1995.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,392670,Osdorp,2022-02-16,18,11.580501,89.30809,9.8805,5.0281715,0.0,0.0,0.0,0.0,3.0,989.5,989.3812,44.809513,231.1964,78.479996,9.6305,7.8305,7.3805003,9.9305,0.733,0.72,0.695,0.678
4331,True,1992.786,1996.229,0.0,0.0,0.0,1.0,7.0,1.0,5.0,312732,Osdorp,2019-02-07,15,8.124,72.746925,3.524,0.9574461,0.1,0.1,0.0,0.0,51.0,1004.8,1004.556,38.753124,234.83348,78.12,7.674,5.374,5.524,10.574,0.706,0.702,0.652,0.613
4334,True,1988.333,1983.831,0.0,0.0,0.0,2.0,0.0,4.0,0.0,437907,Osdorp,2023-08-22,23,15.467499732971191,94.98611450195312,14.667499542236328,16.050159454345703,0.0,0.0,0.0,0.0,0.0,1020.7000122070312,1020.3377685546876,6.608721733093262,209.35765075683597,10.440000534057615,17.767499923706055,19.16750144958496,16.567501068115234,12.617499351501465,0.5189999938011169,0.5410000085830688,0.527999997138977,0.640999972820282
4338,True,2006.0,2006.775,0.0,0.0,0.0,0.0,0.0,0.0,2.0,275252,Osdorp,2017-06-06,17,13.387,70.050705,8.037001,8.414006,0.3,0.3,0.0,0.0,51.0,998.8,998.8,30.58517,222.13753,71.64,16.237,16.187,14.387,9.237,0.519,0.481,0.557,0.643
4343,True,1960.625,1961.741,0.0,0.0,0.0,15.0,0.0,1.0,0.0,394370,Osdorp,2022-02-21,9,4.1305003,83.17376,1.5304999,-4.124656,2.6,1.4999999,0.77,0.0,73.0,992.4,992.15546,43.738148,235.39426,74.520004,4.9805,6.7805004,7.5805,9.7805,0.745,0.742,0.717,0.682
