Incident_ID,Date,Incident_Starttime,Incident_Endtime,Incident_Duration,Incident_Priority,Service_Area,Municipality,Damage_Type,LON,LAT
42093,2006-11-01,03:30:55,04:00:31,00:29:36,3,Hendrik,AMSTERDAM,Tree,4.88875392317278,52.3722179326211
42124,2006-11-01,09:29:33,10:47:15,01:17:42,2,GBA,AMSTERDAM,Tree,4.83601888718729,52.3937794197167
42128,2006-11-01,09:42:13,09:58:31,00:16:18,3,Pieter,AMSTERDAM,Unknown,4.83224294838833,52.3515463397095
42136,2006-11-01,10:38:11,14:37:56,03:59:45,2,Victor,AMSTERDAM,Building,4.94367829911165,52.3584785171481
42143,2006-11-01,11:38:30,16:14:47,04:36:17,2,Willem,AMSTERDAM,Unknown,4.89526138572412,52.3375794365893
42153,2006-11-01,12:47:09,13:45:32,00:58:23,2,Zebra,AMSTERDAM,Unknown,4.98910520972731,52.3592241895035
42235,2006-11-02,18:07:12,19:07:45,01:00:33,2,Pieter,AMSTERDAM,Tree,4.8622152568805,52.3589182212069
42512,2006-11-08,08:26:51,10:13:37,01:46:46,2,Osdorp,AMSTERDAM,Tree,4.79958656908379,52.3414841423598
42670,2006-11-10,15:02:08,17:04:13,02:02:05,2,Uithoorn,UITHOORN,Tree,4.83661908752559,52.2483949918991
42718,2006-11-11,13:10:40,14:07:17,00:56:37,1,Hendrik,AMSTERDAM,Unknown,4.87447105483135,52.3641668534261
42741,2006-11-11,20:21:23,20:57:44,00:36:21,3,Nico,AMSTERDAM,"Fence, Road signs, Scaffolding",4.92570728005456,52.3785332793651
42747,2006-11-11,22:18:12,22:42:58,00:24:46,3,IJsbrand,AMSTERDAM,Unknown,4.90873510722046,52.3862133019175
42748,2006-11-11,22:45:12,23:18:23,00:33:11,3,Amstelveen,AMSTELVEEN,Tree,4.86380699506639,52.2924064842511
42793,2006-11-12,15:15:13,15:30:09,00:14:56,3,Osdorp,AMSTERDAM,Tree,4.8015041603364,52.3752068637116
42804,2006-11-12,18:01:03,21:33:25,03:32:22,2,Hendrik,AMSTERDAM,"Fence, Road signs, Scaffolding",4.89025666471622,52.3809513092311
43455,2006-11-25,16:47:09,17:35:24,00:48:15,3,Uithoorn,UITHOORN,Unknown,4.79924396540361,52.2598543627667
43457,2006-11-25,18:26:56,18:54:33,00:27:37,2,Pieter,AMSTERDAM,Unknown,4.82639810340553,52.3413446028752
43461,2006-11-25,18:46:43,19:50:11,01:03:28,3,Teunis,AMSTERDAM,Unknown,4.84552604434286,52.3780049041983
43858,2006-12-03,14:00:38,14:27:06,00:26:28,2,Diemen,DIEMEN,Unknown,4.96422571064544,52.3419713888831
43860,2006-12-03,14:13:18,15:06:30,00:53:12,2,Diemen,DIEMEN,Unknown,4.96864441361073,52.3464539942628
44037,2006-12-07,12:32:32,13:49:21,01:16:49,3,Nico,AMSTERDAM,Building,4.9029146264376,52.371755411316
44039,2006-12-07,12:43:47,13:50:57,01:07:10,3,Pieter,AMSTERDAM,Tree,4.85522661738627,52.3553278679466
44045,2006-12-07,14:40:22,15:38:59,00:58:37,3,Willem,AMSTERDAM,Tree,4.89557101388217,52.3440698894184
44051,2006-12-07,15:41:39,16:32:06,00:50:27,3,Nico,AMSTERDAM,Tree,4.90937215644135,52.3884358290155
44060,2006-12-07,19:50:41,20:21:12,00:30:31,2,Hendrik,AMSTERDAM,"Fence, Road signs, Scaffolding",4.87211557848417,52.3672484090909
45151,2006-12-29,11:05:28,12:36:23,01:30:55,3,Dirk,AMSTERDAM,Unknown,4.88806690411003,52.3510579177175
45261,2006-12-30,21:41:05,22:42:28,01:01:23,2,Hendrik,AMSTERDAM,Building,4.84885677171503,52.3697873294951
45301,2006-12-30,22:59:46,23:22:13,00:22:27,1,Uithoorn,UITHOORN,Unknown,4.78631214904343,52.2412830478131
45335,2006-12-31,09:35:06,10:32:57,00:57:51,2,Diemen,DIEMEN,"Fence, Road signs, Scaffolding",4.96101691207472,52.3414655527136
45351,2006-12-31,11:19:03,12:02:31,00:43:28,2,Victor,AMSTERDAM,Unknown,4.93203194778883,52.3718799106181
45354,2006-12-31,11:38:49,13:09:44,01:30:55,2,Willem,AMSTERDAM,Tree,4.91963956896293,52.341129563086
45356,2006-12-31,11:53:54,14:14:39,02:20:45,3,Aalsmeer,AALSMEER,Unknown,4.78283718836632,52.2556730823716
45372,2006-12-31,13:10:22,13:24:01,00:13:39,2,Nico,AMSTERDAM,Unknown,4.91167215013208,52.3712156937919
45672,2007-01-01,13:30:39,14:21:45,00:51:06,2,IJsbrand,AMSTERDAM,Tree,4.91483212463955,52.3943806004694
46024,2007-01-07,15:31:01,16:40:38,01:09:37,3,Dirk,AMSTERDAM,Tree,4.89332707622106,52.3479073067481
46094,2007-01-09,08:41:40,09:36:14,00:54:34,2,Willem,AMSTERDAM,Unknown,4.9027644238684,52.334410743324
46128,2007-01-09,15:32:35,16:49:36,01:17:01,3,Pieter,AMSTERDAM,Building,4.83778127183267,52.3653773910941
46129,2007-01-09,15:38:43,16:00:34,00:21:51,3,Hendrik,AMSTERDAM,Unknown,4.88304255661947,52.3850641436867
46130,2007-01-09,15:48:29,16:12:36,00:24:07,2,Nico,AMSTERDAM,Unknown,4.90455556210054,52.3639967293611
46134,2007-01-09,16:23:27,16:52:14,00:28:47,3,Diemen,DIEMEN,Tree,4.95486303586881,52.3314758294735
46175,2007-01-10,10:12:31,10:54:28,00:41:57,3,Teunis,AMSTERDAM,"Fence, Road signs, Scaffolding",4.87113059982243,52.3812379986462
46179,2007-01-10,11:43:54,13:01:37,01:17:43,2,Nico,AMSTERDAM,"Fence, Road signs, Scaffolding",4.92257609360648,52.3858280147697
46181,2007-01-10,12:28:01,13:10:59,00:42:58,2,Anton,AMSTERDAM,Unknown,4.97471305231843,52.2903467299126
46185,2007-01-10,13:52:03,16:27:07,02:35:04,2,Zebra,AMSTERDAM,Building,4.99074892186745,52.3576298977208
46200,2007-01-10,17:38:05,18:46:26,01:08:21,2,Willem,AMSTERDAM,Unknown,4.91734735027138,52.3497397313619
46229,2007-01-11,09:27:01,09:56:16,00:29:15,1,Duivendrecht,AMSTERDAM,Unknown,4.92780314118068,52.3364070138556
46259,2007-01-11,12:09:02,13:55:10,01:46:08,1,Nico,AMSTERDAM,Unknown,4.93833727797286,52.3771078477241
46349,2007-01-11,20:26:08,21:04:40,00:38:32,3,Hendrik,AMSTERDAM,"Fence, Road signs, Scaffolding",4.89055567934501,52.3726119753707
46383,2007-01-12,15:18:05,15:44:40,00:26:35,3,Victor,AMSTERDAM,"Fence, Road signs, Scaffolding",4.92732266525889,52.3629638920749
46388,2007-01-12,16:53:07,17:42:11,00:49:04,2,Willem,AMSTERDAM,Unknown,4.88842019756013,52.3326794234118
46390,2007-01-12,18:20:30,18:52:58,00:32:28,3,Victor,AMSTERDAM,Unknown,4.94840939232647,52.3714114610301
46431,2007-01-13,15:25:28,16:00:02,00:34:34,3,Hendrik,AMSTERDAM,Building,4.88298881619281,52.3704139546544
46464,2007-01-14,13:44:23,14:20:37,00:36:14,3,Teunis,AMSTERDAM,Tree,4.86205080807045,52.3790140662015
46468,2007-01-14,13:39:11,14:32:23,00:53:12,3,Hendrik,AMSTERDAM,Building,4.88308025986475,52.3714119807418
46734,2007-01-18,11:50:08,14:51:18,03:01:10,3,Nico,AMSTERDAM,Unknown,4.90726646933721,52.3916179373683
46808,2007-01-18,14:24:26,14:28:39,00:04:13,3,Hendrik,AMSTERDAM,Tree,4.88574511409193,52.3772832839773
46899,2007-01-18,17:27:07,19:41:41,02:14:34,3,Hendrik,AMSTERDAM,Building,4.88941678554884,52.3694165543306
46900,2007-01-18,17:27:38,19:20:59,01:53:21,3,Victor,AMSTERDAM,Building,4.91095878178374,52.3583334341699
46903,2007-01-18,17:32:31,18:59:16,01:26:45,3,Uithoorn,UITHOORN,Tree,4.82104706148298,52.2315947712414
46904,2007-01-18,17:33:26,19:41:57,02:08:31,3,Pieter,AMSTERDAM,Building,4.85029732869028,52.35752558994
46907,2007-01-18,17:39:33,19:55:49,02:16:16,3,Amstelveen,OUDER-AMSTEL,Building,4.90850391684329,52.2973953728977
46915,2007-01-18,17:47:30,19:06:43,01:19:13,3,Hendrik,AMSTERDAM,Tree,4.88499042457671,52.3803808429662
46917,2007-01-18,17:49:57,17:54:17,00:04:20,3,Osdorp,AMSTERDAM,Unknown,4.78839230603464,52.3630796718408
46919,2007-01-18,17:55:24,19:20:32,01:25:08,3,Dirk,AMSTERDAM,Unknown,4.89152332239583,52.3556651803188
46922,2007-01-18,18:15:11,19:52:44,01:37:33,3,Hendrik,AMSTERDAM,Unknown,4.88274295364366,52.3675008855114
