OBJECTNUMMER,ElementID,WKT_LNG_LAT,WKT_LAT_LNG,LNG,LAT
756,756,"LINESTRING(4.892207 52.379114,4.887537 52.37402,4.88746 52.373491)","LINESTRING(52.379114 4.892207,52.37402 4.887537,52.373491 4.88746)",4.8898335,52.3763025
757,757,"LINESTRING(4.893674 52.378814,4.888991 52.374545,4.888537 52.373361)","LINESTRING(52.378814 4.893674,52.374545 4.888991,52.373361 4.888537)",4.8911055,52.3760875
758,758,"LINESTRING(4.893962 52.378449,4.889659 52.374489,4.889186 52.373333)","LINESTRING(52.378449 4.893962,52.374489 4.889659,52.373333 4.889186)",4.891574,52.375891
759,759,"LINESTRING(4.895401 52.377449,4.894815 52.377063,4.894273 52.376754,4.893746 52.376422,4.893179 52.376082,4.892536 52.375633,4.891815 52.375099,4.890985 52.374144,4.890746 52.373834,4.890508 52.373257)","LINESTRING(52.377449 4.895401,52.377063 4.894815,52.376754 4.894273,52.376422 4.893746,52.376082 4.893179,52.375633 4.892536,52.375099 4.891815,52.374144 4.890985,52.373834 4.890746,52.373257 4.890508)",4.8929545,52.375353
760,760,"LINESTRING(4.882784 52.373785,4.882176 52.367038,4.882142 52.366799,4.882175 52.366606,4.882331 52.366283,4.882443 52.366179)","LINESTRING(52.373785 4.882784,52.367038 4.882176,52.366799 4.882142,52.366606 4.882175,52.366283 4.882331,52.366179 4.882443)",4.882463,52.369982
761,761,"LINESTRING(4.882938 52.366357,4.88269 52.366641,4.882681 52.366763,4.883327 52.373907)","LINESTRING(52.366357 4.882938,52.366641 4.88269,52.366763 4.882681,52.373907 4.883327)",4.883004,52.370132
762,762,"LINESTRING(4.884728 52.373884,4.884162 52.367705,4.884141 52.367384,4.884167 52.367214,4.884476 52.366907)","LINESTRING(52.373884 4.884728,52.367705 4.884162,52.367384 4.884141,52.367214 4.884167,52.366907 4.884476)",4.8844345,52.3703955
763,763,"LINESTRING(4.885009 52.367081,4.88481 52.3673,4.884712 52.367554,4.884735 52.367865,4.885303 52.373856)","LINESTRING(52.367081 4.885009,52.3673 4.88481,52.367554 4.884712,52.367865 4.884735,52.373856 4.885303)",4.8850075,52.3704685
764,764,"LINESTRING(4.886924 52.373301,4.886387 52.367582)","LINESTRING(52.373301 4.886924,52.367582 4.886387)",4.8866555,52.3704415
765,765,"LINESTRING(4.888457 52.373154,4.888208 52.372407,4.887524 52.368784,4.887641 52.36851,4.88811 52.368177)","LINESTRING(52.373154 4.888457,52.372407 4.888208,52.368784 4.887524,52.36851 4.887641,52.368177 4.88811)",4.8879905,52.3706655
766,766,"LINESTRING(4.887427 52.373239,4.886938 52.367746)","LINESTRING(52.373239 4.887427,52.367746 4.886938)",4.8871825,52.3704925
767,767,"LINESTRING(4.88811 52.368177,4.889366 52.367262,4.889979 52.36698,4.89135 52.366763,4.891903 52.366729,4.893268 52.366701)","LINESTRING(52.368177 4.88811,52.367262 4.889366,52.36698 4.889979,52.366763 4.89135,52.366729 4.891903,52.366701 4.893268)",4.890689,52.367439
768,768,"LINESTRING(4.886938 52.367746,4.890629 52.365635,4.892915 52.365324)","LINESTRING(52.367746 4.886938,52.365635 4.890629,52.365324 4.892915)",4.8899265,52.366535
769,769,"LINESTRING(4.889109 52.373122,4.888787 52.37214,4.888094 52.368788,4.888671 52.368325)","LINESTRING(52.373122 4.889109,52.37214 4.888787,52.368788 4.888094,52.368325 4.888671)",4.8886015,52.3707235
770,770,"LINESTRING(4.890393 52.373055,4.890526 52.372305,4.890542 52.371689,4.890145 52.370869,4.889837 52.370369,4.889366 52.369414,4.889321 52.369214,4.889291 52.368901,4.889054 52.368508,4.888671 52.368325)","LINESTRING(52.373055 4.890393,52.372305 4.890526,52.371689 4.890542,52.370869 4.890145,52.370369 4.889837,52.369414 4.889366,52.369214 4.889321,52.368901 4.889291,52.368508 4.889054,52.368325 4.888671)",4.8896065,52.37069
771,771,"LINESTRING(4.892872 52.372613,4.892753 52.37144,4.892495 52.370582,4.891954 52.369067,4.891985 52.368857,4.892449 52.368238,4.893456 52.367423,4.893359 52.367051)","LINESTRING(52.372613 4.892872,52.37144 4.892753,52.370582 4.892495,52.369067 4.891954,52.368857 4.891985,52.368238 4.892449,52.367423 4.893456,52.367051 4.893359)",4.892705,52.369832
772,772,"LINESTRING(4.894781 52.379569,4.894731 52.380386,4.891455 52.38151,4.890242 52.382114)","LINESTRING(52.379569 4.894781,52.380386 4.894731,52.38151 4.891455,52.382114 4.890242)",4.8925115,52.3808415
773,773,"LINESTRING(4.894781 52.379569,4.894499 52.379542,4.893824 52.378945)","LINESTRING(52.379569 4.894781,52.379542 4.894499,52.378945 4.893824)",4.8943025,52.379257
774,774,"LINESTRING(4.898346 52.377167,4.89784 52.377413,4.8973 52.377754,4.897116 52.377943,4.897019 52.378381,4.894781 52.379569)","LINESTRING(52.377167 4.898346,52.377413 4.89784,52.377754 4.8973,52.377943 4.897116,52.378381 4.897019,52.379569 4.894781)",4.8965635,52.378368
775,775,"LINESTRING(4.898346 52.377167,4.8964 52.375775,4.896218 52.375623,4.895308 52.374901,4.894272 52.374063,4.893101 52.373252)","LINESTRING(52.377167 4.898346,52.375775 4.8964,52.375623 4.896218,52.374901 4.895308,52.374063 4.894272,52.373252 4.893101)",4.8957235,52.3752095
776,776,"LINESTRING(4.910725 52.371562,4.910156 52.371764,4.909758 52.371944,4.90891 52.372256,4.908519 52.372328,4.908125 52.372439,4.907777 52.372649,4.907433 52.372818,4.904916 52.374228,4.904507 52.374431,4.903764 52.374875)","LINESTRING(52.371562 4.910725,52.371764 4.910156,52.371944 4.909758,52.372256 4.90891,52.372328 4.908519,52.372439 4.908125,52.372649 4.907777,52.372818 4.907433,52.374228 4.904916,52.374431 4.904507,52.374875 4.903764)",4.9072445,52.3732185
777,777,"LINESTRING(4.906331 52.37248,4.903995 52.373784,4.903823 52.374,4.903581 52.374393,4.903764 52.374875)","LINESTRING(52.37248 4.906331,52.373784 4.903995,52.374 4.903823,52.374393 4.903581,52.374875 4.903764)",4.904956,52.3736775
778,778,"LINESTRING(4.903764 52.374875,4.903499 52.375033,4.903254 52.375754,4.902077 52.37678,4.901981 52.376816,4.901821 52.376837,4.901468 52.376822,4.901163 52.376787,4.899654 52.376673,4.89914 52.376674,4.898852 52.376724,4.8985 52.376887,4.898346 52.377167)","LINESTRING(52.374875 4.903764,52.375033 4.903499,52.375754 4.903254,52.37678 4.902077,52.376816 4.901981,52.376837 4.901821,52.376822 4.901468,52.376787 4.901163,52.376673 4.899654,52.376674 4.89914,52.376724 4.898852,52.376887 4.8985,52.377167 4.898346)",4.901055,52.376021
779,779,"LINESTRING(4.911767 52.366418,4.909018 52.367373,4.908496 52.367426,4.907401 52.367226)","LINESTRING(52.366418 4.911767,52.367373 4.909018,52.367426 4.908496,52.367226 4.907401)",4.909584,52.366922
780,780,"LINESTRING(4.907401 52.367226,4.906193 52.366579,4.905171 52.366375,4.904954 52.366334)","LINESTRING(52.367226 4.907401,52.366579 4.906193,52.366375 4.905171,52.366334 4.904954)",4.9061775,52.36678
781,781,"LINESTRING(4.836569 52.351546,4.842228 52.35159)","LINESTRING(52.351546 4.836569,52.35159 4.842228)",4.8393985,52.351568
782,782,"LINESTRING(4.842966 52.351603,4.849467 52.351635)","LINESTRING(52.351603 4.842966,52.351635 4.849467)",4.8462165,52.351619
783,783,"LINESTRING(4.834899 52.34696,4.840449 52.346935)","LINESTRING(52.34696 4.834899,52.346935 4.840449)",4.837674,52.3469475
784,784,"LINESTRING(4.841547 52.346894,4.84593 52.346911,4.846345 52.346824)","LINESTRING(52.346894 4.841547,52.346911 4.84593,52.346824 4.846345)",4.843946,52.3468675
785,785,"LINESTRING(4.834584 52.356292,4.841937 52.35631)","LINESTRING(52.356292 4.834584,52.35631 4.841937)",4.8382605,52.356301
786,786,"LINESTRING(4.842961 52.356314,4.843554 52.356264,4.843571 52.355666,4.847831 52.355684,4.847863 52.354898,4.850323 52.354908)","LINESTRING(52.356314 4.842961,52.356264 4.843554,52.355666 4.843571,52.355684 4.847831,52.354898 4.847863,52.354908 4.850323)",4.846642,52.355606
787,787,"LINESTRING(4.837243 52.369714,4.83848 52.369551,4.839089 52.369449,4.840146 52.369361,4.841695 52.369327)","LINESTRING(52.369714 4.837243,52.369551 4.83848,52.369449 4.839089,52.369361 4.840146,52.369327 4.841695)",4.839469,52.3695205
788,788,"LINESTRING(4.842583 52.369322,4.844038 52.369342,4.846113 52.369403,4.850273 52.370076)","LINESTRING(52.369322 4.842583,52.369342 4.844038,52.369403 4.846113,52.370076 4.850273)",4.846428,52.369699
789,789,"LINESTRING(4.838504 52.372652,4.840021 52.372416,4.841487 52.372272)","LINESTRING(52.372652 4.838504,52.372416 4.840021,52.372272 4.841487)",4.8399955,52.372462
790,790,"LINESTRING(4.842668 52.372218,4.84378 52.372194,4.845248 52.372227,4.846248 52.372316,4.84891 52.372758)","LINESTRING(52.372218 4.842668,52.372194 4.84378,52.372227 4.845248,52.372316 4.846248,52.372758 4.84891)",4.845789,52.372476
791,791,"LINESTRING(4.838065 52.378813,4.843407 52.377957,4.843766 52.377921)","LINESTRING(52.378813 4.838065,52.377957 4.843407,52.377921 4.843766)",4.8409155,52.378367
792,792,"LINESTRING(4.844422 52.37785,4.844987 52.377769,4.846138 52.377996)","LINESTRING(52.37785 4.844422,52.377769 4.844987,52.377996 4.846138)",4.84528,52.3778825
793,793,"LINESTRING(4.841615 52.357971,4.834573 52.357893)","LINESTRING(52.357971 4.841615,52.357893 4.834573)",4.838094,52.357932
794,794,"LINESTRING(4.827255 52.357819,4.833441 52.357876)","LINESTRING(52.357819 4.827255,52.357876 4.833441)",4.830348,52.3578475
795,795,"LINESTRING(4.841917 52.364082,4.834424 52.36402)","LINESTRING(52.364082 4.841917,52.36402 4.834424)",4.8381705,52.364051
796,796,"LINESTRING(4.827036 52.363983,4.833138 52.364014)","LINESTRING(52.363983 4.827036,52.364014 4.833138)",4.830087,52.3639985
