Date,grid_id,LAT,LON,Hour,has_tree,avg_height,avg_diameter,avg_year,Fraxinus,Salix,Alnus,Quercus,Tilia,Acer,Populus,Betula,Prunus,Platanus,Malus,Robinia,Crataegus,Ulmus,Carpinus,Overig,Onbekend,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm,Incident_ID
2022-02-18,9010,52.22543499145546,4.915099595456067,15,True,12.6,0.0,2005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,9.1825,68.241585,3.6325,-0.87593365,0.1,0.1,0.0,0.0,51.0,986.8,987.63617,33.0,6.0,46.0,0.0,0.12022981,0.36982828,58.727463,87.94617,229.47498,230.31459,98.27999,9.0825,8.0325,7.5325,9.882501,0.738,0.724,0.7,0.677,N36
2022-02-18,3047,52.2921016581222,4.773608599401553,17,True,9.268,0.57,1972.733,3.0,11.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,7.213,71.04566,2.313,-1.6345716,0.0,0.0,0.0,0.0,1.0,987.2,987.802,46.5,19.0,49.0,0.0,0.070754446,0.29500127,48.73847,74.54173,247.41264,248.76375,94.67999,8.212999,7.963,7.313,7.813,0.418,0.42,0.412,0.401,N37
2008-07-12,11377,52.21102057704103,4.971106448060979,9,True,9.258,0.0,1986.529,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,8.0,0.0,9.0,0.0,15.2565,84.205734,12.606501,13.599615,0.2,0.2,0.0,0.0,51.0,1007.2,1007.4386,62.1,39.0,45.0,0.0,0.18489204,0.27406192,16.981165,23.132626,248.87521,249.02643,38.16,16.0065,16.206501,15.106501,10.856501,0.599,0.524,0.526,0.652,N38
2006-07-22,9671,52.2902998563204,4.929838240878413,18,True,9.044,0.0,1383.16,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,24.0,0.0,7.0,0.0,26.0,0.0,23.9195,80.05733,20.2695,26.133564,0.0,0.0,0.0,0.0,2.0,1015.6,1016.1842,66.3,32.0,17.0,91.0,0.13331346,0.59195423,12.24,17.068707,28.072395,27.645891,23.039999,25.2695,22.8195,17.219501,10.8695,0.353,0.364,0.484,0.605,N39
2023-07-27,6422,52.2921016581222,4.853197284682216,9,True,17.833,0.379,1993.143,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.8,91.51948,16.4,17.443266,0.6,0.6,0.0,0.0,53.0,1002.6,1002.95306,100.0,100.0,82.0,12.0,0.0691983,0.17291045,17.709658,28.220417,243.43501,246.70541,32.039997,16.5,16.5,16.7,14.2,0.383,0.272,0.256,0.358,N40
2022-02-18,6552,52.301110667131226,4.856145013766686,16,True,18.553,0.0,810.409,1.0,0.0,0.0,14.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.924,65.81948,2.874,-0.7994385,0.0,0.0,0.0,0.0,0.0,985.8,985.6805,13.8,10.0,8.0,0.0,0.112737335,0.3911627,55.44467,84.74999,232.38597,233.8115,108.72,8.524,7.874,7.274,7.774,0.419,0.421,0.412,0.401,N41
2022-02-19,10529,52.25966922568973,4.950472344469697,13,True,11.544,0.75,1916.378,12.0,5.0,0.0,3.0,10.0,2.0,11.0,0.0,1.0,32.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,7.2565,58.512913,-0.3435,0.6128588,0.4,0.4,0.0,0.0,51.0,1011.6,1011.8465,94.200005,8.0,95.0,100.0,0.15127337,0.42394316,30.631746,43.010582,240.42226,241.50446,58.32,7.5565,7.1565,7.5065,9.7565,0.713,0.72,0.707,0.68,N42
2017-08-03,3195,52.333543099563705,4.776556328486022,19,True,9.375,0.0,1346.575,0.0,0.0,36.0,3.0,0.0,8.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,18.0935,73.313065,13.2435,14.584667,0.0,0.0,0.0,0.0,0.0,1008.6,1008.7182,13.799999,14.0,2.0,0.0,0.10201843,0.55435944,31.151962,49.230576,236.3099,237.23961,60.479996,19.4935,18.3435,16.4435,12.4935,0.625,0.596,0.505,0.619,N43
2019-03-14,6412,52.27408364010417,4.853197284682216,13,True,11.875,0.25,1929.162,0.0,12.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,11.0,0.0,10.412999,74.7005,6.113,3.033946,0.3,0.3,0.0,0.0,51.0,993.7,994.2991,89.4,50.0,74.0,0.0,0.12047414,0.3199131,43.921474,66.02149,284.7197,285.17297,84.96,7.813,6.663,7.063,7.413,0.426,0.427,0.408,0.367,N44
2022-01-31,9465,52.36957913559978,4.923942782709474,13,True,18.463,0.0,1158.238,3.0,2.0,0.0,43.0,5.0,0.0,4.0,7.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0,5.998,82.81782,3.2979999,-1.4428792,0.3,0.3,0.0,0.0,51.0,1010.3,1009.5584,100.0,100.0,100.0,72.0,0.047464173,0.16103685,40.336067,61.905342,319.34332,320.66373,77.76,4.998,5.898,6.798,10.298,0.702,0.666,0.678,0.657,N45
2023-09-13,3183,52.31192147794205,4.776556328486022,15,True,14.273,0.579,1705.152,4.0,1.0,1.0,22.0,3.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,18.463001,62.474876,11.162999,16.491241,0.0,0.0,0.0,0.0,1.0,1020.9,1021.37854,44.1,49.0,0.0,0.0,0.22819601,0.79784214,15.978484,22.26477,22.520613,22.833694,32.039997,20.163,19.363,17.213001,13.313,0.603,0.554,0.532,0.635,N46
